[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2690_THT_BOT,,BOTTOM,17,R2690C24130049,20240617,09:36:15,09:36:28,Solder Joint,SOLDER JOINT,NG
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2690C24130049,Solder Joint,SOLDER JOINT,NO,NG
2,R2690C24130037,Solder Joint,SOLDER JOINT,NO,NG
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,U24,,121.244,76.379,Pin,Pin,NG
1,U24,1,121.244,76.379,Pin,Pin,NG
1,U24,3,121.244,76.379,Pin,Pin,NG
1,J5,,97.850,175.684,Pin,PIN,PASS
1,J10,,20.593,44.278,Pin,PIN,PASS
2,U24,,246.244,76.379,Pin,Pin,NG
2,U24,3,246.244,76.379,Pin,Pin,NG
2,C176,,239.630,193.065,Pin,PIN,PASS
2,J10,,145.593,44.278,Pin,PIN,PASS
[COMPONENT_INSP_RESULT_END]
