[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2534_THT_TOP,,TOP,2,R2534K24170049,20240604,13:52:44,13:52:47,Body Lift,LIFT,NG
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2534K24170049,Body Lift,LIFT,NO,NG
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,Q1,,263.534,121.463,Pin,Pin,NG
1,Q2,,263.834,81.461,Pin,Pin,NG
1,D2,,263.804,61.786,Pin,Pin,NG
1,D2,1,263.804,61.786,Pin,Pin,NG
1,D1,,263.290,101.644,Solder Joint,SOLDER JOINT,PASS
1,D1,2,263.290,101.644,Solder Wettability,SOLDER_WETTABILITY,PASS
1,L1,,243.413,58.557,Wrong Component,WRONG,PASS
1,D5,,240.577,126.017,Solder Joint,SOLDER JOINT,PASS
1,D5,1,240.577,126.017,Solder Wettability,SOLDER_WETTABILITY,PASS
1,D5,2,240.577,126.017,Solder Wettability,SOLDER_WETTABILITY,PASS
1,D5,3,240.577,126.017,Solder Wettability,SOLDER_WETTABILITY,PASS
1,C19,,240.809,84.086,Body Lift,LIFT,PASS
1,C18,,240.258,101.161,Polarity,POLARITY,PASS
1,R79,,209.709,125.745,Solder Joint,SOLDER JOINT,PASS
1,R79,1,209.709,125.745,Solder Wettability,SOLDER_WETTABILITY,PASS
1,TR1,,200.218,56.696,Polarity,POLARITY,PASS
1,Q5,,193.241,121.341,Solder Joint,SOLDER JOINT,PASS
1,Q5,1,193.241,121.341,Solder Wettability,SOLDER_WETTABILITY,PASS
1,Q5,2,193.241,121.341,Solder Wettability,SOLDER_WETTABILITY,PASS
1,Q5,3,193.241,121.341,Solder Wettability,SOLDER_WETTABILITY,PASS
1,Q6,,171.371,121.140,Solder Joint,SOLDER JOINT,PASS
1,Q6,1,171.371,121.140,Solder Wettability,SOLDER_WETTABILITY,PASS
1,Q6,3,171.371,121.140,Solder Amount,SOLDER_AMOUNT,PASS
1,RT1,,143.807,143.323,Solder Joint,SOLDER JOINT,PASS
1,RT1,1,143.807,143.323,Solder Amount,SOLDER_AMOUNT,PASS
1,RT1,2,143.807,143.323,Solder Amount,SOLDER_AMOUNT,PASS
1,TR6,,140.113,106.199,Wrong Component,WRONG,PASS
1,U5,,138.620,134.557,Pin,PIN,PASS
1,T4,,116.047,122.538,Polarity,POLARITY,PASS
1,T3,,101.941,97.302,Polarity,POLARITY,PASS
1,T2,,79.202,121.702,Polarity,POLARITY,PASS
1,R35,,78.526,79.832,Polarity,POLARITY,PASS
1,R60,,73.695,79.783,Body Lift,LIFT,PASS
1,U6,,71.605,138.381,Pin,PIN,PASS
1,R61,,68.633,79.792,Body Lift,LIFT,PASS
1,T1,,64.557,97.226,Polarity,POLARITY,PASS
1,TR5,,37.237,70.262,Wrong Component,WRONG,PASS
[COMPONENT_INSP_RESULT_END]
