[INFO]
LINE_NAME,MACHINE_SN,MACHINE_NAME,OPERATOR_ID
SMTTLAM,ParmiMachineSN,SMT10AOI,Operator
[INFO_END]

[PANEL_INSP_RESULT]
MODEL_NAME,MODEL_CODE,PANEL_SIDE,INDEX,BARCODE,DATE,START_TIME,END_TIME,DEFECT_NAME,DEFECT_CODE,RESULT
MED_Stryker_R-2534_THT_BOT,,BOTTOM,18,R2534K24170049,20240613,14:14:21,14:14:27,Body Lift,LIFT,PASS
[PANEL_INSP_RESULT_END]

[BOARD_INSP_RESULT]
BOARD_NO,BARCODE,DEFECT_NAME,DEFECT_CODE,BADMARK,RESULT
1,R2534K24170049,Body Lift,LIFT,NO,PASS
[BOARD_INSP_RESULT_END]

[COMPONENT_INSP_RESULT]
BOARD_NO,LOCATION_NAME,PIN_NUMBER,POS_X,POS_Y,DEFECT_NAME,DEFECT_CODE,RESULT
1,TR5,,263.645,70.940,Solder Joint,SOLDER JOINT,PASS
1,TR5,6,263.645,70.940,Solder Wettability,SOLDER_WETTABILITY,PASS
1,U6,,238.108,139.380,Body Lift,LIFT,PASS
1,TR2,,237.208,44.477,Solder Joint,SOLDER JOINT,PASS
1,TR2,1,237.208,44.477,Solder Wettability,SOLDER_WETTABILITY,PASS
1,TR2,2,237.208,44.477,Solder Wettability,SOLDER_WETTABILITY,PASS
1,R47,,229.409,94.699,Pin,PIN,PASS
1,J3,,216.697,29.499,Solder Joint,SOLDER JOINT,PASS
1,J3,1,216.697,29.499,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J3,2,216.697,29.499,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J3,3,216.697,29.499,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J3,4,216.697,29.499,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J3,5,216.697,29.499,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J3,6,216.697,29.499,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J2,,192.638,137.802,Solder Joint,SOLDER JOINT,PASS
1,J2,27,192.638,137.802,Solder Wettability,SOLDER_WETTABILITY,PASS
1,J2,60,192.638,137.802,Solder Amount,SOLDER_AMOUNT,PASS
1,R46,,192.551,96.638,Pin,PIN,PASS
1,RT1,,156.404,143.710,Upside down,UPSIDE DOWN,PASS
1,J1,,155.795,30.124,Solder Joint,SOLDER JOINT,PASS
1,J1,1,155.795,30.124,Solder Amount,SOLDER_AMOUNT,PASS
1,J1,2,155.795,30.124,Solder Amount,SOLDER_AMOUNT,PASS
1,J1,3,155.795,30.124,Solder Amount,SOLDER_AMOUNT,PASS
1,C33,,133.039,104.276,Pin,PIN,PASS
1,C34,,119.763,104.154,Pin,PIN,PASS
1,R23,,108.171,96.548,Pin,PIN,PASS
1,R25,,103.194,96.576,Pin,PIN,PASS
1,TR1,,101.536,56.349,Solder Joint,SOLDER JOINT,PASS
1,TR1,1,101.536,56.349,Solder Wettability,SOLDER_WETTABILITY,PASS
1,R29,,98.101,95.241,Pin,PIN,PASS
1,R79,,91.022,135.184,Wrong Component,WRONG,PASS
1,L2,,75.684,132.123,Pin,PIN,PASS
1,L1,,63.012,44.815,Pin,PIN,PASS
1,D5,,60.369,131.318,Polarity,POLARITY,PASS
[COMPONENT_INSP_RESULT_END]
